gameID,actualPlayerCount,batchID,contextSize,contextStructure,status,targets
01JFG8ZHV16RJMZXAMJCSCC8YH,2,01JFG8ZHTASWYYHKW5R8B6JS82,4,comp-within,ended,"[[227,346],[227,321],[227,425],[227,448],[232,346],[232,321],[232,425],[232,448],[413,346],[413,321],[413,425],[413,448],[22,346],[22,321],[22,425],[22,448]]"
01JFG9MKX8V1EE2C7F57KC17VD,NA,01JFG9MKWTH1K45CBQ289ZX16A,NA,NA,failed,NA
01JFG9ZJ9GEX6MPZ0HAKGHGQ29,2,01JFG9ZJ8XKYY7A2PH26Y8HW5Q,4,comp-within,ended,"[[311,267],[311,324],[311,79],[311,437],[170,267],[170,324],[170,79],[170,437],[97,267],[97,324],[97,79],[97,437],[128,267],[128,324],[128,79],[128,437]]"
01JFG9ZQ545YBBK3A9DKPRDYW4,NA,01JFG9ZQ4MNX9N1V0RACM73JYA,NA,NA,terminated,NA
01JFGB974ZHW03GYHWQASYBYD4,NA,01JFGB97365AZHKWFXBKNV5V03,NA,NA,failed,NA
01JFG8YPFB4QWAE1J5AKFP27SX,2,01JFG8YPEF275M0SF9PNSPV272,4,comp-between,ended,"[[287,250],[287,360],[287,82],[287,392],[415,250],[415,360],[415,82],[415,392],[11,250],[11,360],[11,82],[11,392],[74,250],[74,360],[74,82],[74,392]]"
01JFG8YYF8H0QD8W9TRHSGW7CC,2,01JFG8YYEMC3P14CH23MXYXJ1N,4,comp-within,ended,"[[170,232],[170,119],[170,371],[170,203],[462,232],[462,119],[462,371],[462,203],[224,232],[224,119],[224,371],[224,203],[53,232],[53,119],[53,371],[53,203]]"
01JFG8Z7EFJZW02VJSC7JSSAXB,2,01JFG8Z7DX9XXJDKG3QSY7GHWR,4,noncomp,ended,"[[215,384],[274,316],[400,193],[309,228],[141,104],[117,24],[380,338],[442,446],[358,214],[287,238],[93,45],[454,450],[219,68],[63,116],[125,148],[26,122]]"
01JFG8Z9BQREF412YKSXPEAKSA,2,01JFG8Z9B8TE7ZVBBENQDAJDQK,4,comp-between,ended,"[[258,180],[258,347],[258,56],[258,166],[241,180],[241,347],[241,56],[241,166],[343,180],[343,347],[343,56],[343,166],[195,180],[195,347],[195,56],[195,166]]"
01JFG8ZB56RK4A1F3V9S54MW2R,NA,01JFG8ZB4Q4WJW7MWN4SBTYJ20,NA,NA,failed,NA
01JFGA58DFG208NE3ZXZFARAF8,2,01JFGA58CRKR49V2KH4XS2WDYB,4,comp-within,ended,"[[436,243],[436,272],[436,7],[436,36],[182,243],[182,272],[182,7],[182,36],[47,243],[47,272],[47,7],[47,36],[37,243],[37,272],[37,7],[37,36]]"
01JFGA94BZQJ1X6GA60RQ9RWBC,NA,01JFGA94B38BDYWCFMDRJ9NPPC,NA,NA,terminated,NA
