prolificID,bonus
5a38c23a50833c0001eeac9f,1.62
658450b145755619f37a1294,1.47
5dc0d311e5dc4108137d7c10,1.89
64fe4015250d9972529f7d10,1.83
676ae4e3b72beab078b05dba,1.71
66ecd1ee194d5ad163eafb97,1.74
5da09f733c3367001a72dec6,1.83
6287745dd285a8be832879dc,1.62
664993e12a5b629050529e17,0.57
64e7e9cacf76d2e8deb2c7d5,1.86
6303c4fcbc7cb717214995ab,1.68
6565f3239d4b3557933760d3,1.68
6562421abbbe0dc4b89ad4ff,1.71
5bd3ff16b209800001bed096,1.47
67673dfdc44eeefe882255ff,1.74
66a82d6eb4dacecdebd623f8,1.8
661747a10840d7553533cda1,1.83
66de22000b28da3fb0efe439,1.8
6742fec88d80b64c6fad40ea,0.57
6650d30d4396f10c42cd6503,1.83
